반복 회차 (Iteration),주문 번호 (k),도착 시간 (t_k),작업 수량 (n_k),할당 랙 (r),할당 CP (c),완료 시간 (E_k)
1,0,0.0,1,1,15,6.17
1,1,15.049999999999999,1,2,40,23.78
1,2,21.63,1,4,64,30.16
1,3,26.2,1,4,65,35.81
1,4,27.04,1,5,82,34.83
1,5,27.889999999999997,1,0,13,35.42
1,6,28.189999999999998,1,1,28,36.32
1,7,38.25,1,5,76,45.38
1,8,42.839999999999996,1,5,79,52.41
1,9,49.0,1,4,71,57.13
1,10,49.1,1,3,53,56.36
1,11,66.62,1,4,73,74.75
1,12,75.55000000000001,1,4,70,83.68
1,13,76.75,1,4,62,89.37
1,14,77.75,1,5,75,84.52
1,15,78.76,1,3,56,86.29
1,16,80.58000000000001,1,2,30,87.35
1,17,84.30000000000001,1,0,0,89.87
1,18,87.12,1,0,10,96.5
1,19,88.84,1,0,14,103.53
1,20,93.58000000000001,1,2,36,101.33
1,21,94.33000000000001,1,0,12,110.16
1,22,96.06,1,3,57,103.59
1,23,98.34,1,0,1,115.19
1,24,101.38000000000001,1,5,85,110.11
1,25,109.07000000000001,1,5,88,117.8
1,26,110.18,1,1,26,118.31
1,27,113.79,1,1,25,124.94
1,28,118.28,1,1,16,129.97
1,29,118.52000000000001,2,1,22,141.35
1,30,123.2,1,3,59,131.13
1,31,124.13000000000001,2,4,60,135.3
1,32,124.47,2,3,51,142.43
1,33,139.34,1,1,24,148.38
1,34,156.19,1,3,47,162.78
1,35,164.45000000000002,1,2,32,172.24
1,36,166.27,1,5,87,175.0
1,37,166.78,1,0,4,174.71
1,38,172.55,1,3,46,178.48
1,39,175.45000000000002,1,1,21,182.6
1,40,176.1,1,0,5,182.65
1,41,179.51000000000002,1,2,35,187.26
1,42,179.69,1,2,34,194.29
1,43,191.69,1,1,18,199.55
1,44,193.19,1,4,67,200.38
1,45,198.62,1,1,29,207.15
1,46,200.49,1,0,9,208.42
1,47,204.16,2,2,41,219.52
1,48,208.11,1,4,69,216.64
1,49,209.14000000000001,1,1,19,217.67
1,50,226.6,1,4,66,233.75
1,51,234.06,1,1,23,241.92
1,52,248.09,1,2,38,256.55
1,53,259.34999999999997,1,2,44,268.48
1,54,263.9,1,1,27,272.03
1,55,276.65,1,3,49,284.58
1,56,277.10999999999996,1,5,86,285.84
1,57,278.2,1,2,31,285.33
1,58,278.44,1,0,7,285.03
1,59,280.4,1,5,84,292.87
1,60,282.85999999999996,1,4,61,289.39
1,61,284.45,1,2,33,292.91
1,62,293.27,1,4,74,301.8
1,63,295.47999999999996,1,5,81,303.23
1,64,297.12,1,5,89,310.26
1,65,301.03999999999996,1,4,68,308.9
1,66,301.79999999999995,1,2,42,310.53
1,67,309.9,1,0,8,317.16
1,68,310.28999999999996,1,5,78,318.75
1,69,331.96,1,3,45,337.53
1,70,339.34999999999997,1,5,83,347.81
1,71,340.46,1,2,37,348.25
1,72,340.48999999999995,1,1,20,347.64
1,73,348.94,1,4,72,357.07
1,74,355.07,1,3,54,363.0
1,75,361.59999999999997,1,3,48,369.36
1,76,368.97999999999996,1,0,2,375.57
1,77,369.35999999999996,1,1,17,376.55
1,78,371.58,1,0,11,382.2
1,79,372.2,1,3,58,379.73
1,80,382.14,1,2,39,391.27
1,81,387.02,1,0,6,393.57
1,82,389.03,1,4,63,396.89
1,83,389.35999999999996,1,2,43,398.09
1,84,391.21999999999997,1,0,3,399.93
1,85,393.19,2,5,80,406.59
1,86,399.72999999999996,1,5,77,412.28
1,87,404.79999999999995,1,3,50,411.35
1,88,415.71,1,3,52,422.3
1,89,418.90999999999997,3,3,55,442.19
2,0,0.0,1,0,13,7.53
2,1,15.049999999999999,1,3,59,22.98
2,2,21.63,1,0,10,29.16
2,3,26.2,1,0,1,34.19
2,4,27.04,1,5,83,35.5
2,5,27.889999999999997,1,2,41,36.62
2,6,28.189999999999998,1,3,51,34.74
2,7,38.25,1,5,80,46.0
2,8,42.839999999999996,1,1,23,50.7
2,9,49.0,1,5,85,57.73
2,10,49.1,1,5,81,63.38
2,11,66.62,1,2,44,75.75
2,12,75.55000000000001,1,5,76,82.68
2,13,76.75,1,1,22,83.94
2,14,77.75,1,2,35,85.5
2,15,78.76,1,2,36,91.15
2,16,80.58000000000001,1,0,9,88.51
2,17,84.30000000000001,1,2,43,97.78
2,18,87.12,1,2,38,104.14
2,19,88.84,1,0,8,96.1
2,20,93.58000000000001,1,2,32,109.83
2,21,94.33000000000001,1,4,69,102.86
2,22,96.06,1,3,54,103.99
2,23,98.34,1,4,64,109.89
2,24,101.38000000000001,1,1,29,109.91
2,25,109.07000000000001,1,1,20,116.22
2,26,110.18,1,4,72,118.31
2,27,113.79,1,3,53,121.05
