주문 번호 (k),도착 시간 (t_k),작업 수량 (n_k),할당 랙 (r),할당 CP (c),완료 시간 (E_k)
0,0.0,2,4,41,36.94
1,15.049999999999999,1,1,11,33.52
2,21.63,3,0,0,42.04
3,26.2,4,3,30,65.08
4,27.04,1,2,20,50.51
5,27.889999999999997,5,5,50,80.24
6,28.189999999999998,1,0,1,45.51
7,38.25,2,1,10,60.19
8,42.839999999999996,6,3,31,88.66
9,49.0,2,2,21,75.94
10,49.1,1,5,51,87.57
11,66.62,3,4,40,107.03
12,75.55000000000001,2,3,32,108.55
13,76.75,1,5,52,115.75
14,77.75,2,1,12,100.75
15,78.76,3,4,42,120.76
16,80.58000000000001,1,2,22,104.58
17,84.30000000000001,4,0,2,110.3
18,87.12,2,1,13,111.46
19,88.84,1,4,43,125.43
20,93.58000000000001,3,2,23,127.59
21,94.33000000000001,2,5,53,138.67
22,96.06,1,3,33,125.73
23,98.34,3,0,3,124.31
24,101.38000000000001,1,2,28,132.52
25,109.07000000000001,1,1,18,129.0
26,110.18,2,5,55,155.04
27,113.79,3,3,37,153.58
28,118.28,1,4,47,153.21
29,118.52000000000001,2,0,5,138.38
30,123.2,2,5,58,238.06
31,124.13000000000001,3,1,16,218.92
32,124.47,5,0,8,246.87
33,139.34,4,3,35,248.0
34,156.19,2,4,45,246.87
35,164.45000000000002,1,2,25,250.09
36,166.27,3,4,46,261.66
37,166.78,2,1,17,276.85
38,172.55,4,2,27,269.81
39,175.45000000000002,3,3,38,270.61
40,176.1,1,0,6,261.66
41,179.51000000000002,2,5,57,271.41
42,179.69,3,0,7,276.45
43,191.69,1,1,15,295.66
44,193.19,2,2,26,285.0
45,198.62,4,3,36,290.33
46,200.49,1,4,48,290.33
47,204.16,6,5,56,300.99
48,208.11,2,5,59,311.65
49,209.14000000000001,1,4,44,295.66
50,226.6,3,3,34,306.32
51,234.06,2,0,4,290.33
52,248.09,1,1,19,300.99
53,259.34999999999997,5,2,24,311.65
54,263.9,4,4,49,316.98
55,276.65,1,5,54,316.98
56,277.10999999999996,5,0,9,316.98
57,278.2,3,1,14,316.98
58,278.44,2,3,39,316.98
59,280.4,1,2,29,316.98
